id,subject,body,hash_tags,author,date,location
post_17592217529774,"Hi Neighbours,","I am looking to recruit several members of staff over the next coming weeks. 
- A Head Chef 
- Social Media Assistance 
- Ad Hoc waiting/service staff 

I have a position available for a kitchen assistant/server in Central London. 

Job Opportunity Start Date: ASAP 
Times: Monday – Friday | 7AM – 4PM
Location: Unit 1: The Carousel - W1T 1RL | Unit 2: W1K 6DE
Role Description:
This is a full-time role, paying £11.25PH, 

Plated Events is an event catering company, we have recently expanded to introduce Plated Taqueria – Mexican Lunch  A quick, fresh and healthy lunch option for visiting and local residents and
business.
Starting at unit 1 – 
• Assisting in the food preparation process
• Cooking and preparing elements of high-quality dishes
• Preparing vegetables, meats, and fish
• Assisting other Chefs
• Helping with deliveries and restocking
• Assisting with stock rotation cleaning stations
• Contributing to maintaining kitchen and food safety standards.
Logistics:
• Transporting Plated Taqueria ingredients and dishes from unit 1 to unit 2.
Plated Taqueria Vendor
• Provide an efficient, friendly service to our customers and prepare and deliver a product that
meets and exceeds customers’ expectations.
• Maintain a professional relationships with with surrounding businesses and
residents.
• Food preparation prepare vegetables, Bain maries, display fridge, prepare meat setups, and
ensure front counter is well stocked with fresh produce.
• Food Safety Management
• Cash handling
• Cleaning of all food related area.
• Co-ordinate with delivery partners to ensure smooth service.

Please send over your CV & Covering letter to events@plated-events.com

Many thanks for reviewing",,K. S.,2023-05-02T11:38:28.038Z,mayfair
post_17592217526879,“Thirteen Tips to Attract and Keep Wealthy Clients”,"Read More at https://www.wealthmanagement.com/high-net-worth/thirteen-tips-attract-and-keep-wealthy-clients

Discuss this and other HNWI and Private Client sector topics at our May Mayfair networking reception Next Wednesday 10th May– last few tickets left with dozens of firms booked – www.londonprivateclient.com/ #networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #theclarence",#networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #theclarence,S. B.,2023-05-02T10:14:47.079Z,mayfair
post_17592217477875,Enjoy weekend!,,,J. S.,2023-04-30T19:59:19.639Z,mayfair
post_17592217472476,,Jonathan S. just joined Mayfair.,,J. S.,2023-04-30T17:00:11.231Z,mayfair
post_17592217358741,,Mohamed I. just joined Mayfair.,,M. I.,2023-04-27T00:21:44.623Z,mayfair
post_17592217350909,,Liberty C. just joined Mayfair.,,L. C.,2023-04-26T18:03:06.137Z,mayfair
post_17592217283904,Looking for a weekly cleaner for a 1 Bed.,Thursdays at 10am.,,Y. A.,2023-04-24T16:28:18.394Z,mayfair
post_17592217252890,Do not hire any one who is part recommended by Bark .,"Com
They are thugs and have threatened to do me up
So stay away from From Bark.com",,R. D.,2023-04-23T17:22:12.252Z,mayfair
post_17592217134656,"https://www.homejournal.com/en/article/Inside-a-serene-1,700-sq.-ft.-Kowloon-Tong-residence-crafted-with-natural-materials/",,,J. S.,2023-04-19T20:15:31.355Z,mayfair
post_17592217092652,,Steven Z. just joined Mayfair.,,S. Z.,2023-04-18T15:33:57.694Z,mayfair
post_17592217091883,Summer Sublet Seeker!,"Hey everyone, I'm a university student studying abroad at LSE this summer looking for a single bedroom or studio to sublet in July and August around Central London. I'm a tidy and well kept person, and can also help walk dogs! Please get in touch!

Budget: ideally £700-800 p/m on the upper end
Dates : July 9 - August 18, or anytime in between

Thank you all!",,S. Z.,2023-04-18T15:11:35.878Z,mayfair
post_17592217068904,,Adam S. just joined Mayfair.,,A. S.,2023-04-17T20:30:24.701Z,mayfair
post_17592216748990,House Keeper Required,,,L. S.,2023-04-07T17:34:02.280Z,mayfair
post_17592216858030,“Luxury Mayfair Homes Selling at Fastest Rate Since 2020”,"Read more at https://www.bloomberg.com/news/articles/2023-02-08/luxury-mayfair-homes-are-selling-at-the-fastest-rate-since-2020 

Discuss this and other HNWI and Private Client sector topics at our Mid-April Mayfair networking reception TOMORROW Wed 12th April – last few tickets left with over 40 firms booked – www.londonprivateclient.com/ #networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #burlingtonarms",#networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #burlingtonarms,S. B.,2023-04-11T10:54:54.777Z,mayfair
post_17592216846106,🚘Hand Car wash🚿,"Delivery (In your home or garage)
🚩Around Hyde Park 
24hour

All prices are from and the price may differ depending on vehicle and condition of the vehicle.

🚿Wash and Dry(Outside only): from £30
🕓Time: 1 to 2 hours

Vehicle Washed using  Shampoo 
Vehicle spray waxed using Wax
Vehicle dried, Door shuts dried, Wheels dried
Windows cleaned and dried from the outside

✨️Gold Service (Detailed In & Out Service): from £80
🕓Time: 4 to 5 hours 

Vehicle Washed using Shampoo 
Vehicle spray waxed using Wax
Vehicle dried, Door shuts dried, Wheels dried
Windows cleaned and dried from the inside and out
Carpets vacuumed, dash board wiped, air vents dusted
Autoglym air freshener, if required, Seats vacuumed, Seats leathered, Door cards leathered and wiped,
Plastic trims treated, Plastic floor mats washed
Exterior plastic cleaned and treated
Tyre shine

🚩All products used should be supplied by contractor. (Shampoo, vax...)",,A. O.,2023-04-10T22:32:06.659Z,mayfair
post_17592216784718,,Azemar O. just joined Mayfair.,,A. O.,2023-04-09T01:11:26.984Z,mayfair
post_17592216725682,https://nextdoor.co.uk/pages/another-england-limited-london-england/?recommend=1,,,J. S.,2023-04-06T21:32:38.535Z,mayfair
post_17592216649641,Any solicitor /lawyer experience in housing for a legal advice can contact me privately or any recommendations?,Thanks,,H. S.,2023-04-04T13:38:23.332Z,mayfair
post_17592216639183,“High net worth property buyers still demand parking in London”,"Research by a mortgage broker for global high-net-worths, Enness Global Mortgages, has found that London’s high-end homebuyers are snapping up properties with parking across the capital’s prime boroughs.

Read More at https://www.showhouse.co.uk/news/high-net-worth-property-buyers-still-demand-parking-in-london/ 

Discuss this and other HNWI and Private Client sector topics at our Mid-April Mayfair networking reception Wed 12th April – last few tickets left with over 40 firms booked - https://www.eventbrite.co.uk/e/london-private-client-mid-april-mayfair-hnwi-sector-networking-reception-tickets-527704958737 #networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #burlingtonarms",#networking #mayfair #hnw #hnwi #privateclient #london #londonprivateclient #burlingtonarms,S. B.,2023-04-04T08:37:35.486Z,mayfair
post_17592216575630,,Isabel E. just joined Mayfair.,,I. E.,2023-04-02T09:16:35.392Z,mayfair
post_17592216566682,https://nextdoor.co.uk/post/17592216415585?init_source=copy_link_share,,,J. S.,2023-04-01T20:39:46.078Z,mayfair
post_17592216564294,"If I sent you a video, would you watch it and give me your personal feedback?",https://vimeo.com/infinitygrid/infinitygridofficialpresentation-short,,B. B.,2023-04-01T18:45:45.234Z,mayfair
post_17592216521094,,Daniel V. just joined Mayfair.,,D. V.,2023-03-31T10:13:33.677Z,mayfair
post_17592216447711,"Want to spend a quiet evening or weekend at home, relaxing on a gorgeous, comfortable sofa?",https://nextdoor.co.uk/post/17592216415585?init_source=copy_link_share,,J. S.,2023-03-28T20:48:20.812Z,mayfair
post_17592216367515,Seeking affordable luxury furniture for home?,"Whether you're looking for Italian sofa, armchair, sofa bed or padded bed, we offer and deliver globally.
We guarantee 20%+ off from high street price! Ask us at hello@anotherengland.org for details.

https://nextdoor.co.uk/post/17592215998852?init_source=copy_link_share",,J. S.,2023-03-26T13:56:52.739Z,mayfair
post_17592216269940,,Jheesoo I. just joined Mayfair.,,J. I.,2023-03-23T12:07:39.762Z,mayfair
post_17592216212636,"We has experience in great references, and the best cost benefit in the city!",,,S. V.,2023-03-21T18:29:06.639Z,mayfair
post_17592216186694,Any Muslim woman living around Mayfair who want to go to the mosque for tarawih?,,,H. S.,2023-03-20T22:13:10.586Z,mayfair
post_17592216095052,Recommendation!,https://nextdoor.co.uk/pages/another-england/?recommend=1,,J. S.,2023-03-17T22:04:27.022Z,mayfair
post_17592216034531,Lets join the group,,,J. S.,2023-03-15T23:03:17.407Z,mayfair
post_17592216018352,I need a Gardner to tidy my small garden stanmore area any one recommend?,,,R. D.,2023-03-15T14:10:29.442Z,mayfair
post_17592215999739,Bespoke interior design is…,,,J. S.,2023-03-14T21:34:18.365Z,mayfair
post_17592215997505,,Pierre F. just joined Mayfair.,,P. F.,2023-03-14T20:21:05.823Z,mayfair
